Customer ID,Recency,Frequency,MonetaryValue,R_score,F_score,M_score,RFM_Segment,RFM_Score,K_Cluster,Churn_Status,Churn_Probability
12346,165,11,372.86,1,4,2,1.04.02.0,7,1,0,0.028422277186653563
12347,3,2,1323.32,4,2,3,4.02.03.0,9,0,0,1.900676916328047e-14
12348,74,1,222.16,2,1,1,2.01.01.0,4,0,0,6.837895953580329e-10
12349,43,3,2671.14,3,3,4,3.03.04.0,10,0,0,8.431968765447032e-11
12351,11,1,300.93,4,1,1,4.01.01.0,6,0,0,1.2826222515138104e-14
12352,11,2,343.8,4,2,2,4.02.02.0,8,0,0,4.091033934592705e-14
12353,44,1,317.76,3,1,2,3.01.02.0,6,0,0,7.951429859382455e-12
12355,203,1,488.21,1,1,2,1.01.02.0,4,1,1,0.9829002714793783
12356,16,3,3562.25,4,3,4,4.03.04.0,11,0,0,9.58798995464232e-13
12357,24,2,12079.99,3,2,4,3.02.04.0,9,0,0,3.4841818405622938e-12
12358,11,3,2719.01,4,3,4,4.03.04.0,11,0,0,3.3159221598118276e-13
12359,61,6,2563.36,2,4,4,2.04.04.0,10,0,0,1.4194299462277285e-09
12360,15,5,1590.83,4,3,3,4.03.03.0,10,0,0,2.0606992308820355e-13
12361,98,3,321.35,2,3,2,2.03.02.0,7,0,0,3.747506765772972e-07
12362,374,1,130.0,1,1,1,1.01.01.0,3,1,1,0.9999999999999998
12366,269,1,500.24,1,1,2,1.01.02.0,4,1,1,0.999999954630337
12368,264,1,917.7,1,1,3,1.01.03.0,5,1,1,0.9999999422778394
12369,49,3,1791.15,3,3,4,3.03.04.0,10,0,0,2.475546845421323e-10
12370,260,3,774.62,1,3,3,1.03.03.0,7,1,1,0.9999999496959228
12371,45,3,2179.42,3,3,4,3.03.04.0,10,0,0,1.182676801709191e-10
12373,260,2,763.0500000000001,1,2,3,1.02.03.0,6,1,1,0.9999999197545371
12374,57,3,2246.29,2,3,4,2.03.04.0,9,0,0,6.187468063188238e-10
